title,url,published_at,company_name,company_id
『マネーフォワード クラウド連結会計』、外部システムとの柔軟なデータ連携を実現する更新系APIを提供開始,https://prtimes.jp/main/html/rd/p/000001567.000008962.html,2025-12-26 16:10,株式会社マネーフォワード,8962
京王自動車株式会社が『マネーフォワード クラウド経費』を導入,https://prtimes.jp/main/html/rd/p/000001564.000008962.html,2025-12-26 13:10,株式会社マネーフォワード,8962
『マネーフォワード クラウド経費』、AIエージェント「経費申請サポートエージェント」を一部ユーザー向けに提供開始,https://prtimes.jp/main/html/rd/p/000001566.000008962.html,2025-12-25 18:10,株式会社マネーフォワード,8962
『マネーフォワード Admina』、「ITトレンド 年間ランキング2025」SaaS管理システム部門で第1位に,https://prtimes.jp/main/html/rd/p/000001565.000008962.html,2025-12-25 13:10,株式会社マネーフォワード,8962
マネーフォワードホーム、特別動画コンテンツ「Money Forward Pickers」第五弾を公開,https://prtimes.jp/main/html/rd/p/000001561.000008962.html,2025-12-16 19:10,株式会社マネーフォワード,8962
『マネーフォワード ME』プレミアム会員向け「Prime Coupon」、「人生を、満たす時間。」をテーマに新たに3つの提携ブランドを追加,https://prtimes.jp/main/html/rd/p/000001560.000008962.html,2025-12-16 18:10,株式会社マネーフォワード,8962
マネーフォワード、WineBankとのAPI連携を開始,https://prtimes.jp/main/html/rd/p/000001563.000008962.html,2025-12-16 18:10,株式会社マネーフォワード,8962
マネーフォワードホーム、年末年始のおトクで特別なキャンペーンを2025年12月15日よりスタート,https://prtimes.jp/main/html/rd/p/000001562.000008962.html,2025-12-15 19:10,株式会社マネーフォワード,8962
『マネーフォワード クラウド債務支払』、AIエージェント「支払依頼申請サポートエージェント」を一部ユーザー向けに提供開始,https://prtimes.jp/main/html/rd/p/000001559.000008962.html,2025-12-15 18:10,株式会社マネーフォワード,8962
マネーフォワード、提供するAIソリューションを紹介する特設サイト「『マネーフォワード クラウド』with AI」を公開,https://prtimes.jp/main/html/rd/p/000001557.000008962.html,2025-12-15 14:10,株式会社マネーフォワード,8962
生成AIにお金の相談？2025年の投資状況は？「お金の意識調査2025」を実施,https://prtimes.jp/main/html/rd/p/000001558.000008962.html,2025-12-12 19:10,株式会社マネーフォワード,8962
いすゞ自動車販売グループが『マネーフォワード クラウドインボイス』を導入,https://prtimes.jp/main/html/rd/p/000001556.000008962.html,2025-12-11 14:14,株式会社マネーフォワード,8962
『マネーフォワード クラウド債権管理』、AIを活用した「消込候補提案機能」を提供,https://prtimes.jp/main/html/rd/p/000001553.000008962.html,2025-12-09 18:10,株式会社マネーフォワード,8962
タクシーアプリ『GO』のGO株式会社、グループ会社で『マネーフォワード クラウド』6プロダクトを導入,https://prtimes.jp/main/html/rd/p/000001552.000008962.html,2025-12-09 15:10,株式会社マネーフォワード,8962
辻・本郷 ITコンサルティングの『実トレfor会計事務所』研修コンテンツに、『マネーフォワード クラウド会計』を追加,https://prtimes.jp/main/html/rd/p/000001551.000008962.html,2025-12-08 14:10,株式会社マネーフォワード,8962
マネーフォワードホーム、特別動画コンテンツ「Money Forward Pickers」第4弾を公開,https://prtimes.jp/main/html/rd/p/000001555.000008962.html,2025-12-05 20:10,株式会社マネーフォワード,8962
『マネーフォワード ME』プレミアム会員向け「Prime Coupon」、「美と自信を育む自己投資」をテーマに新たな提携ブランドを追加,https://prtimes.jp/main/html/rd/p/000001554.000008962.html,2025-12-05 18:10,株式会社マネーフォワード,8962
『マネーフォワード クラウド人事管理』『マネーフォワード クラウド給与』『マネーフォワード クラウド社会保険』の3プロダクトにおいて、「通勤手当」項目の連携を開始,https://prtimes.jp/main/html/rd/p/000001550.000008962.html,2025-12-04 14:10,株式会社マネーフォワード,8962
SBCメディカルグループ株式会社が『マネーフォワード クラウド連結会計』を導入決定,https://prtimes.jp/main/html/rd/p/000001548.000008962.html,2025-12-03 18:10,株式会社マネーフォワード,8962
『マネーフォワード クラウド契約』、「リース識別エージェント」を提供開始,https://prtimes.jp/main/html/rd/p/000001549.000008962.html,2025-12-03 13:10,株式会社マネーフォワード,8962
「マネーフォワード総合研究所」設立およびWebページ公開のお知らせ,https://prtimes.jp/main/html/rd/p/000001547.000008962.html,2025-12-02 15:10,株式会社マネーフォワード,8962
『三井住友銀行アプリ』および『三井住友カード Vpassアプリ』へお金の見える化サービス『マネーフォワード ME』の機能を導入することを決定,https://prtimes.jp/main/html/rd/p/000001545.000008962.html,2025-12-01 18:10,株式会社マネーフォワード,8962
売掛金早期資金化サービス『マネーフォワード 早期入金』を提供開始,https://prtimes.jp/main/html/rd/p/000001546.000008962.html,2025-12-01 13:11,株式会社マネーフォワード,8962
新リース会計基準に最短距離で対応できる『マネーフォワード クラウドリース会計』を提供開始,https://prtimes.jp/main/html/rd/p/000001542.000008962.html,2025-11-28 18:10,株式会社マネーフォワード,8962
マネーフォワード、リコージャパン、DITが函館市道南地区のDX推進に関する包括連携協定を締結,https://prtimes.jp/main/html/rd/p/000001544.000008962.html,2025-11-28 17:10,株式会社マネーフォワード,8962
『マネーフォワード クラウド個別原価』、外部システムと連携し工数管理・原価計算を自動化するAPI群を提供開始,https://prtimes.jp/main/html/rd/p/000001541.000008962.html,2025-11-27 18:10,株式会社マネーフォワード,8962
『マネーフォワード Admina』、サービス提供開始4周年を記念したインフォグラフィックを公開,https://prtimes.jp/main/html/rd/p/000001543.000008962.html,2025-11-27 14:11,株式会社マネーフォワード,8962
マネーフォワード、九州・沖縄支社および福岡開発拠点 新オフィスにて営業開始,https://prtimes.jp/main/html/rd/p/000001540.000008962.html,2025-11-26 18:10,株式会社マネーフォワード,8962
『マネーフォワード クラウド請求書』、AIを活用した「請求書アップロード機能」を提供開始,https://prtimes.jp/main/html/rd/p/000001538.000008962.html,2025-11-26 14:10,株式会社マネーフォワード,8962
