title,url,published_at,company_name,company_id
日本最大級のスタートアップ展示会「Startup JAPAN 2026」4月15日・16日に開催,https://prtimes.jp/main/html/rd/p/000000803.000049627.html,2026-03-19 14:10,Sansan株式会社,49627
Sansanのサービスを活用し、成果を創出した企業を表彰する「Sansan Innovation Award 2027」の募集を開始,https://prtimes.jp/main/html/rd/p/000000802.000049627.html,2026-03-16 14:10,Sansan株式会社,49627
働き方に変化やイノベーションを起こした企業を表彰　　　　「Sansan Innovation Award 2026」の受賞企業を発表,https://prtimes.jp/main/html/rd/p/000000799.000049627.html,2026-03-13 18:45,Sansan株式会社,49627
Sansan、「第5回日経統合報告書アワード」において優秀賞を2年連続で受賞,https://prtimes.jp/main/html/rd/p/000000801.000049627.html,2026-03-12 14:10,Sansan株式会社,49627
世界最大級のピックルボールツアーが東京初上陸,https://prtimes.jp/main/html/rd/p/000000800.000049627.html,2026-03-10 20:10,Sansan株式会社,49627
Sansan Data Intelligence、Salesforceと自動連携を開始。取引先データの品質を高め、戦略立案や分析の精度を向上,https://prtimes.jp/main/html/rd/p/000000798.000049627.html,2026-03-05 14:10,Sansan株式会社,49627
名刺アプリ「Eight」、スポットコンサル領域において国内最大手のビザスクとパートナー連携を開始,https://prtimes.jp/main/html/rd/p/000000797.000049627.html,2026-03-02 12:10,Sansan株式会社,49627
川崎汽船グループのケイラインロジスティックスが年間約4600時間の業務削減を見込み、Bill Oneを導入,https://prtimes.jp/main/html/rd/p/000000795.000049627.html,2026-02-26 14:11,Sansan株式会社,49627
アイフルグループ８社でContract Oneを導入し、Sansan連携,https://prtimes.jp/main/html/rd/p/000000793.000049627.html,2026-02-24 16:10,Sansan株式会社,49627
Sansan、「企業のAI活用に関する実態調査」を実施,https://prtimes.jp/main/html/rd/p/000000792.000049627.html,2026-02-18 14:11,Sansan株式会社,49627
Sansan、情シスの「データメンテナンス疲れ」を調査。一社あたり年3.9億円相当の工数をデータ整備等に消費,https://prtimes.jp/main/html/rd/p/000000790.000049627.html,2026-02-17 12:35,Sansan株式会社,49627
Bill One主催「経理・財務の日」を2月17日・18日に開催,https://prtimes.jp/main/html/rd/p/000000789.000049627.html,2026-02-06 14:10,Sansan株式会社,49627
都内初（※）の大型ピックルボール専用施設「Sansanピックルボールコート池袋」をオープン,https://prtimes.jp/main/html/rd/p/000000788.000049627.html,2026-01-28 16:37,Sansan株式会社,49627
経理AXサービス「Bill One」のTVCM「ひとこと言いたい」篇が2月2日に放映開始,https://prtimes.jp/main/html/rd/p/000000787.000049627.html,2026-01-26 16:10,Sansan株式会社,49627
企業の中から新たな価値を生み出す“社内起業家”を表彰する「第三回 日本新規事業大賞」2月6日までエントリー受付中,https://prtimes.jp/main/html/rd/p/000000785.000049627.html,2026-01-22 18:10,Sansan株式会社,49627
